utc_start,interval_hours,kp,ap,definitive,source_url,source_section
2022-02-03T09:00:00Z,3,5.333,56,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-03"
2022-02-03T12:00:00Z,3,4.000,27,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-03"
2022-02-03T15:00:00Z,3,3.000,15,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-03"
2022-02-03T18:00:00Z,3,3.000,15,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-03"
2022-02-03T21:00:00Z,3,2.667,12,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-03"
2022-02-04T00:00:00Z,3,4.000,27,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-04"
2022-02-04T03:00:00Z,3,4.000,27,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-04"
2022-02-04T06:00:00Z,3,3.667,22,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-04"
2022-02-04T09:00:00Z,3,3.667,22,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-04"
2022-02-04T12:00:00Z,3,4.000,27,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-04"
2022-02-04T15:00:00Z,3,5.333,56,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-04"
2022-02-04T18:00:00Z,3,5.000,48,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-04"
2022-02-04T21:00:00Z,3,4.000,27,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-04"
2022-02-05T00:00:00Z,3,2.667,12,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-05"
2022-02-05T03:00:00Z,3,3.000,15,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-05"
2022-02-05T06:00:00Z,3,2.000,7,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-05"
2022-02-05T09:00:00Z,3,2.333,9,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-05"
2022-02-05T12:00:00Z,3,3.000,15,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-05"
2022-02-05T15:00:00Z,3,2.667,12,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-05"
2022-02-05T18:00:00Z,3,2.667,12,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-05"
2022-02-05T21:00:00Z,3,1.667,6,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-05"
2022-02-06T00:00:00Z,3,3.667,22,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-06"
2022-02-06T03:00:00Z,3,3.000,15,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-06"
2022-02-06T06:00:00Z,3,2.667,12,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-06"
2022-02-06T09:00:00Z,3,3.000,15,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-06"
2022-02-06T12:00:00Z,3,3.000,15,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-06"
2022-02-06T15:00:00Z,3,1.667,6,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-06"
2022-02-06T18:00:00Z,3,2.667,12,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-06"
2022-02-06T21:00:00Z,3,2.667,12,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-06"
2022-02-07T00:00:00Z,3,2.333,9,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-07"
2022-02-07T03:00:00Z,3,1.333,5,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-07"
2022-02-07T06:00:00Z,3,1.000,4,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-07"
2022-02-07T09:00:00Z,3,1.667,6,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-07"
2022-02-07T12:00:00Z,3,1.000,4,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-07"
2022-02-07T15:00:00Z,3,2.333,9,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-07"
2022-02-07T18:00:00Z,3,1.333,5,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-07"
2022-02-07T21:00:00Z,3,2.000,7,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-07"
